,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
176,TTR24358201596122000,965.5460435,-7.04622,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
178,TTR23247330524012001,1224.007136,-9.20006,,0,CLOSURE,1,FRC4,0.6,0,0,-1
179,TTR28868117796019001,329.6118892,-1.74677,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
180,TTR27826506936014000,124.5975847,-0.03831,,0,CLOSURE,1,FRC6,0.4,0,0,-1
181,TTR28080401324068000,132.6983754,-0.10582,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
182,TTR24225477844014001,984.1219663,-7.20102,,0,ROADWORKS,0.6,FRC6,0.4,0,0,-1
183,TTR23740750276306000,1061.434092,-7.84528,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
184,TTR27858247416013001,136.4069905,-0.13672,,0,CLOSURE,1,FRC5,0.5,0,0,-1
185,TTR27180183716133001,220.1248138,-0.83437,,0,ROADWORKS,0.6,FRC5,0.5,0,0,-1
187,TTR23847528796050000,1014.584531,-7.45487,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
188,TTR23515710424054001,1100.908277,-8.17424,,0,ROADWORKS,0.6,FRC6,0.4,0,0,-1
189,TTR27892872696007001,143.8471154,-0.19873,,0,CLOSURE,1,FRC7,0.3,0,0,-1
190,TTR27829392516030000,126.4194652,-0.0535,,0,CLOSURE,1,FRC6,0.4,0,0,-1
191,TTR24987234748082000,757.4063551,-5.31172,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
192,TTR27252326396013000,271.528376,-1.26274,,0,CLOSURE,1,FRC5,0.5,0,0,-1
193,TTR25639350968018001,553.706578,-3.61422,,0,TRAFFIC_RESTRICTION,0.6,FRC2,0.8,0,0,-1
194,TTL28879660140163000,332.5485452,-1.77124,,0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,501,1,-1
195,TTR28853690760003001,325.5667741,-1.71306,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
196,TTR27278291844061000,243.3000656,-1.0275,,0,CLOSURE,1,FRC5,0.5,0,0,-1
197,TTR22021046064121000,1517.438341,-11.64532,,0,ROADWORKS,0.6,FRC1,0.9,0,0,-1
198,TTR23382942732012001,1193.932664,-8.94944,,0,ACCIDENT,1,FRC4,0.6,0,0,-1
199,TTL23925387520026000,1090.076882,-8.08397,,0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,299,1,-1
